"RPO Client","Phase 1 Fee","Phase 2 %","Phase 2 Operand","Monthly Data Management Fee","Cumulative Data Management Fee","Client Start Date","Months Open","Billing Cycle Start Period","Billing Cycle End Period","Effective Date","Expiration Date","","Calculated Fee Test"
"ABSciex","4000","0.1","","0","","01/01/2014 12:00:00 AM","","1","","01/02/1900 12:00:00 AM","","",""
"Beckman","3300","0.114","Base Salary","7000","","08/01/2012 12:00:00 AM","","1","","01/02/1900 12:00:00 AM","08/01/2014 12:00:00 AM","",""
"Beckman","3600","0.114","Base Salary","7000","","08/01/2012 12:00:00 AM","","1","","08/01/2014 12:00:00 AM","","",""
"Beckman EU","3300","0.15","Base Salary","0","","08/01/2012 12:00:00 AM","","1","","01/02/1900 12:00:00 AM","","",""
"Hach","3500","0.15","Base Salary","3500","","03/06/2012 12:00:00 AM","","1","","03/06/2012 12:00:00 AM","07/01/2013 12:00:00 AM","",""
"Iris","3300","0.114","Base Salary","","","","","1","","01/02/1900 12:00:00 AM","08/01/2014 12:00:00 AM","",""
"Iris","3600","0.114","Base Salary","","","","","1","","08/01/2014 12:00:00 AM","","",""
"LBS","3500","0.15","Base Salary","3500","","07/30/2009 12:00:00 AM","","26","25","01/02/1900 12:00:00 AM","06/04/2013 12:00:00 AM","",""
"LBS","4000","0.15","Base Salary","3500","","07/30/2009 12:00:00 AM","","26","25","06/04/2013 12:00:00 AM","12/31/2013 12:00:00 AM","",""
"LBS","4000","0.15","Base Salary","3500","","07/30/2009 12:00:00 AM","","26","25","01/01/2014 12:00:00 AM","07/01/2014 12:00:00 AM","",""
"LBS","3500","0.15","Base Salary","3500","","07/30/2009 12:00:00 AM","","26","25","07/01/2014 12:00:00 AM","12/31/2014 12:00:00 AM","",""
"LBS","4000","0.15","Base Salary","3500","","07/30/2009 12:00:00 AM","","26","25","01/01/2015 12:00:00 AM","2/31/2015","","0"
"LBS","3000","0.15","Base Salary","3500","","07/30/2009 12:00:00 AM","","26","25","03/01/2015 12:00:00 AM","","","1"
"LBS EU","3500","0.15","Total Comp","0","","","","1","","01/02/1900 12:00:00 AM","06/04/2013 12:00:00 AM","",""
"LBS EU","4000","0.15","Total Comp","0","","","","1","","06/04/2013 12:00:00 AM","12/31/2013 12:00:00 AM","",""
"LBS EU","4000","0.15","Total Comp","0","","","","1","","01/01/2014 12:00:00 AM","07/01/2014 12:00:00 AM","",""
"LBS EU","3500","0.15","Total Comp","0","","","","1","","07/01/2014 12:00:00 AM","12/31/2014 12:00:00 AM","",""
"LBS EU","4000","0.15","Total Comp","0","","","","1","","01/01/2015 12:00:00 AM","","",""
"Leica EU","3500","0.15","Total Comp","0","","","","26","25","01/02/1900 12:00:00 AM","06/04/2013 12:00:00 AM","",""
"Leica EU","4000","0.15","Total Comp","0","","","","26","25","06/04/2013 12:00:00 AM","01/01/2014 12:00:00 AM","",""
"Leica EU","3500","0.15","Total Comp","0","","","","26","25","01/01/2014 12:00:00 AM","07/01/2014 12:00:00 AM","",""
"Leica EU","4000","0.15","Total Comp","0","","","","26","25","07/01/2014 12:00:00 AM","","",""
"Leica Richmond","4000","0.15","Base Salary","0","","02/14/2011 12:00:00 AM","","26","25","01/02/1900 12:00:00 AM","06/04/2013 12:00:00 AM","",""
"Leica Richmond","3500","0.15","Base Salary","0","","02/14/2011 12:00:00 AM","","26","25","06/04/2013 12:00:00 AM","12/31/2013 12:00:00 AM","",""
"Leica Richmond","4000","0.15","Base Salary","0","","02/14/2011 12:00:00 AM","","26","25","01/01/2014 12:00:00 AM","07/01/2014 12:00:00 AM","",""
"Leica Richmond","3500","0.15","Base Salary","0","","02/14/2011 12:00:00 AM","","26","25","07/01/2014 12:00:00 AM","12/31/2014 12:00:00 AM","",""
"Leica Richmond","4000","0.15","Base Salary","0","","02/14/2011 12:00:00 AM","","26","25","01/01/2015 12:00:00 AM","","",""
"LMS","4000","0.15","Base Salary","0","","","","26","25","01/02/1900 12:00:00 AM","06/04/2013 12:00:00 AM","",""
"LMS","3500","0.15","Base Salary","0","","","","26","25","06/04/2013 12:00:00 AM","12/31/2013 12:00:00 AM","",""
"LMS","4000","0.15","Base Salary","0","","","","26","25","01/01/2014 12:00:00 AM","07/01/2014 12:00:00 AM","",""
"LMS","3500","0.15","Base Salary","0","","","","26","25","07/01/2014 12:00:00 AM","12/31/2014 12:00:00 AM","",""
"LMS","4000","0.15","Base Salary","0","","","","26","25","01/01/2015 12:00:00 AM","","",""
"LMS EU","4000","0.15","Total Comp","0","","07/30/2009 12:00:00 AM","","1","","01/02/1900 12:00:00 AM","06/04/2013 12:00:00 AM","",""
"LMS EU","3500","0.15","Total Comp","0","","07/30/2009 12:00:00 AM","","1","","06/04/2013 12:00:00 AM","12/31/2013 12:00:00 AM","",""
"LMS EU","4000","0.15","Total Comp","0","","07/30/2009 12:00:00 AM","","1","","01/01/2014 12:00:00 AM","07/01/2014 12:00:00 AM","",""
"LMS EU","3500","0.15","Total Comp","0","","07/30/2009 12:00:00 AM","","1","","07/01/2014 12:00:00 AM","12/31/2014 12:00:00 AM","",""
"LMS EU","4000","0.15","Total Comp","0","","07/30/2009 12:00:00 AM","","1","","01/01/2015 12:00:00 AM","","",""
"MicroScan","3300","0.114","Base Salary","","","","","1","","01/02/1900 12:00:00 AM","08/01/2014 12:00:00 AM","",""
"MicroScan","3600","0.114","Base Salary","","","","","1","","08/01/2014 12:00:00 AM","","",""
"Molecular Devices","4000","0.1","Base Salary","","","01/01/2014 12:00:00 AM","","1","","01/01/2013 12:00:00 AM","03/01/2015 12:00:00 AM","",""
"Molecular Devices","4300","0.15","Base Salary","","","01/01/2014 12:00:00 AM","","1","","03/01/2015 12:00:00 AM","","",""
"Navman","4000","0.15","Base Salary","3500","","10/29/2013 12:00:00 AM","","26","25","01/02/1900 12:00:00 AM","","",""
"OSI","4000","0.2","","","","","","1","","01/02/1900 12:00:00 AM","","",""
"Radiometer","4000","0.15","Base Salary","","","01/01/2014 12:00:00 AM","","1","","01/02/1900 12:00:00 AM","11/24/2014 12:00:00 AM","",""
"Radiometer","4300","0.15","Base Salary","","","01/01/2014 12:00:00 AM","","1","","11/24/2014 12:00:00 AM","","",""
"SenDx","4000","0.15","Base Salary","","","","","1","","01/02/1900 12:00:00 AM","11/24/2014 12:00:00 AM","",""
"SenDx","4300","0.15","Base Salary","","","","","1","","11/24/2014 12:00:00 AM","","",""
"Kaman","4000","0.15","Base Salary","4500","","05/13/2015 12:00:00 AM","","1","","05/13/2015 12:00:00 AM","","",""
"Bioptigen","3500","0.15","Base Salary","","","08/12/2015 12:00:00 AM","","26","25","08/12/2015 12:00:00 AM","","","1"
"NavMan EU","4000","0.15","Base Salary","3500","","10/29/2013 12:00:00 AM","","26","25","01/02/1900 12:00:00 AM","","","1"
"Cupertino Electric Inc","2000","0.15","Base Salary","","","11/01/2015 12:00:00 AM","","1","","01/01/2015 12:00:00 AM","","","1"
"Gilbarco","3800","0.15","Base Salary","","","07/01/2016 12:00:00 AM","","1","","07/01/2016 12:00:00 AM","",""
